,year,month,week,Date,D,F,T,P,I
96,2021,Apr,14,4/6/2021,3153117,7889031.86,620000,6525602.01,410600
97,2021,Apr,14,4/7/2021,5038743,4121561.61,818500,3102263.88,1907870
98,2021,Apr,14,4/8/2021,8451219,4848162.24,1002000,1660187.03,80500
99,2021,Apr,15,4/9/2021,1847952.42,6936512.72,656000,7894962.8,105000
100,2021,Apr,15,4/10/2021,362800,1611915.95,NA,NA,NA
101,2021,Apr,15,4/11/2021,232430,975845.69,20000,NA,NA
102,2021,Apr,15,4/12/2021,4820429.52,9652356.48,951000,5576441.39,379156.52
103,2021,Apr,15,4/13/2021,4500091.13,6115765.03,428050,17747063.44,27500
104,2021,Apr,15,4/14/2021,3889744.17,8556662.21,125500,3769181.13,280000
105,2021,Apr,15,4/15/2021,2267092.44,9382293.44,341000,4408275.77,613560
106,2021,Apr,16,4/16/2021,2969528.91,9329775.68,860400,9684465.26,281215
107,2021,Apr,16,4/17/2021,411000,2327818.33,120000,NA,8450
108,2021,Apr,16,4/18/2021,129700,4052475.1,9000,NA,NA
109,2021,Apr,16,4/19/2021,3317705,6508386.86,238400,5504688.42,644055
110,2021,Apr,16,4/20/2021,1489966.95,5984393.96,620000,11841634.06,273380.5
111,2021,Apr,16,4/21/2021,3028574,6295477.25,NA,2351323.35,462036
112,2021,Apr,16,4/22/2021,2304242,5313006.72,451100,3450481.02,120000
113,2021,Apr,17,4/23/2021,4438529.46,6018054.21,2368000,12478192.56,1840000
114,2021,Apr,17,4/24/2021,266000,2381775.09,150000,NA,NA
115,2021,Apr,17,4/25/2021,337261,1853069.39,NA,NA,70000
116,2021,Apr,17,4/26/2021,6900061.71,6096068.53,794500,8735841.23,994864
117,2021,Apr,17,4/27/2021,4849300.69,8269079.31,1940000,11110671.96,768991
118,2021,Apr,17,4/28/2021,4237100,9835122.12,1615000,4862451.79,390129
119,2021,Apr,17,4/29/2021,6138048.26,9034998.04,1357000,5267660.89,766016.38
120,2021,Apr,18,4/30/2021,10820115,16599545.42,2468600,33905866.17,2003694.09
121,2021,May,18,5/1/2021,3753292.13,8703618.52,634610,NA,387080
122,2021,May,18,5/2/2021,480394.44,1528552.92,NA,NA,80000
123,2021,May,18,5/3/2021,696000,2562713.88,189000,636962.57,95000
124,2021,May,18,5/4/2021,2264000,11536842.96,585000,3571744.05,1009047.29
125,2021,May,18,5/5/2021,2337570.43,6113304.06,513000,4467471.15,764600
126,2021,May,18,5/6/2021,3116056.8,5820091.33,1428500,3704990.36,653700
127,2021,May,19,5/7/2021,2572145,9960722.56,786000,12845323.02,448340.77
128,2021,May,19,5/8/2021,145300,3471856.34,315000,NA,20000
129,2021,May,19,5/9/2021,91000,1714132.02,1.00E+05,NA,NA
130,2021,May,19,5/10/2021,4331632.37,6623480.39,1769000,5713406.41,388210.34
131,2021,May,19,5/11/2021,1813372,8623027.87,812753.75,10932248.52,125000
132,2021,May,19,5/12/2021,1135262,2353534.39,4.00E+05,3850353.04,435000
133,2021,May,19,5/13/2021,280481.4,2111763.23,150000,4916845.53,118000
134,2021,May,20,5/14/2021,4500895,6076025.34,185200,17222963.99,473394
135,2021,May,20,5/15/2021,140000,2293547.19,667000,NA,80000
136,2021,May,20,5/16/2021,235000,3306870.07,NA,NA,NA
137,2021,May,20,5/17/2021,1993290,7416510.11,565000,2950341.4,3.00E+05
138,2021,May,20,5/18/2021,3308960,6216986.47,295000,11956329.41,612000
139,2021,May,20,5/19/2021,1149600,5636029.78,770000,1792374.09,766761.41
140,2021,May,20,5/20/2021,3225803,5306644.21,1063250,1585092.89,247435
141,2021,May,21,5/21/2021,3955299.11,18636039.36,1459618.84,12711645.37,209763.02
142,2021,May,21,5/22/2021,653000,2930387.9,360000,NA,9500
143,2021,May,21,5/23/2021,220000,778311.64,NA,NA,40000
